,judul_skripsi,text_preprocessing,label
0,PERBANDINGAN METODE SIMPLE ADDITIVE WEIGHTING DAN WEIGHTED PRODUCT MENGGUNAKAN METODE MEAN SQUARED ERROR UNTUK PEMILIHAN BEASISWA JKA BERBASIS WEB (STUDI KASUS: UKM KENDOKA UNSADA),banding metode simple additive weighting weighted product guna metode mean squared error pilih beasiswa jka bas web studi kasus ukm kendoka unsada,3
1,PERANCANGAN SISTEM PRODUKTIVITAS KINERJA DEVELOPER MENGGUNAKAN METODE PROFILE MATCHING DAN NAIVE BAYES DALAM MENENTUKAN DEVELOPER OF THE MONTH DAN KELAYAKAN KENAIKAN GAJI DEVELOPER,rancang sistem produktivitas kinerja developer guna metode profile matching naive bayes tentu developer of the month layak naik gaji developer,4
2,PERANCANGAN SISTEM PENDATAAN ALUMNI BERBASIS WEB DECISION SUPPORT SYSTEM DENGAN METODE SAW DAN FUZZY MAMDANI UNTUK MENCARI REKOMENDASI PEKERJAAN TERHADAP ALUMNI,rancang sistem data alumni bas web decision support system metode saw fuzzy mamdani cari rekomendasi kerja alumni,1
3,SISTEM ABSENSI QR CODE BERBASIS ANDROID DAN PEMBERIAN BONUS PENGAJAR MENGGUNAKAN METODE PERBANDINGAN EKSPONENSIAL (MPE) PADA BIMBEL MAX EDUCATION DI RAWA LUMBU,sistem absensi qr code bas android beri bonus ajar guna metode banding eksponensial mpe bimbel max education rawa lumbu,3
4,PREDIKSI HARGA BARANG LELANG PT BALAI LELANG RAJAWALI KARYA DENGAN METODE SINGLE MOVING AVERAGE DAN METODE EXPONENTIAL SMOOTHING,prediksi harga barang lelang pt balai lelang rajawali karya metode single moving average metode exponential smoothing,2
5,Perancangan Sistem Pemilihan Supplier Alat Laboratorium Berbasis Web Dengan Metode Integrasi AHP dan TOPSIS di PT. ANUGRAH NIAGA MANDIRI,rancang sistem pilih supplier alat laboratorium bas web metode integrasi ahp topsis pt anugrah niaga mandiri,3
6,"SISTEM ABSENSI QR CODE BERBASIS ANDROID DAN PEMBERIAN BONUS 
PENGAJAR MENGGUNAKAN METODE PERBANDNGAN EKPONENSIAL (MPE) 
PADA BIMBEL MAX EDUCATION DI RAWA LUMBU",sistem absensi qr code bas android beri bonus ajar guna metode perbandngan ekponensial mpe pada bimbel max education rawa lumbu,3
7,"PREDIKSI HARGA BARANG LELANG PT BALAI LELANG RAJAWALI KARYA 
DENGAN METODE SINGLE MOVING AVERAGE DAN
METODE EXPONENTIAL SMOOTHING",prediksi harga barang lelang pt balai lelang rajawali karya dengan metode single moving average dan metode exponential smoothing,2
8,"SISTEM PENDUKUNG KEPUTUSAN PENERIMA BANTUAN DANA DESA DI KELURAHAN CAKUNG TIMUR DENGAN MENGGUNAKAN METODE PROMETHEE II BERBASIS WEB
",sistem dukung putus terima bantu dana desa lurah cakung timur guna metode promethee ii bas web,3
9,"SISTEM PENDUKUNG KEPUTUSAN PENERIMA BANTUAN DANA DESA DI KELURAHAN CAKUNG TIMUR DENGAN MENGGUNAKAN METODE PROMETHEE II BERBASIS WEB
",sistem dukung putus terima bantu dana desa lurah cakung timur guna metode promethee ii bas web,3
10,PERANCANGAN SISTEM INFORMASI PENJUALAN SPAREPART MOTOR BERBASIS WEB DENGAN MENGGUNAKAN METODE TIME SERIES,rancang sistem informasi jual sparepart motor bas web guna metode time series,3
11,PERANCANGAN SISTEM INFORMASI PENJUALAN SPAREPART MOTOR BERBASIS WEB DENGAN MENGGUNAKAN METODE TIME SERIES,rancang sistem informasi jual sparepart motor bas web guna metode time series,3
12,RANCANG BANGUN APLIKASI ONLINE SHOP BERBASIS WEB MENGGUNAKAN METODE MARKET BASKET ANALYSIS STUDI KASUS UD MEDIKA TEKNIK MAKMUR CIKARANG,rancang bangun aplikasi online shop bas web guna metode market basket analysis studi kasus ud medika teknik makmur cikarang,3
13,PERANCANGAN SISTEM INFORMASI PREDIKSI PERSEDIAAN BARANG DAN JASA PERCETAKAN PADA CV. BISMA OPTIMA MENGGUNAKAN METODE SINGLE EXPONENTIAL SMOOTHING,rancang sistem informasi prediksi sedia barang jasa cetak cv bisma optima guna metode single exponential smoothing,2
14,"SISTEM APLIKASI PROJECT MANAGEMENT PADA PT PRODIGI
MENGGUNAKAN CPM DENGAN ALGORITMA SAW",sistem aplikasi project management pt prodigi guna cpm algoritma saw,3
15,SISTEM PENDUKUNG KEPUTUSAN PENENTUAN WAHANA TERBAIK PADA TAMAN REKREASI RAINBOW LAKE BEKASI MENGGUNAKAN METODE ELIMINATION ET CHOIX TRADUISANT LA REALITE (ELECTRE),sistem dukung putus tentu wahana baik taman rekreasi rainbow lake bekas guna metode elimination et choix traduisant la realite electre,3
16,"PERANCANGAN SISTEM PENDUKUNG KEPUTUSAN PENENTUAN
JABATAN BERBASIS WEB DI YAYASAN SENA WANGI
MENGGUNAKAN METODE PROFILE MATCHING DAN PROMETHEE",rancang sistem dukung putus tentu jabat bas web yayasan sena wangi guna metode profile matching promethee,3
17,"PENERAPAN ALGORITMA GENETIKA DAN GOOGLE MAP API UNTUK MENCARI RUTE TERPENDEK PENDISTRIBUSIAN BARANG
DI SISTEM INFORMASI PEMESANAN BARANG PT. DIAN PERMATA
OMEGA",terap algoritma genetika google map api cari rute pendek distribusi barang di sistem informasi mesan barang pt dian permata omega,2
18,"PERANCANGAN SISTEM APLIKASI PENJUALAN PRODUK BERBASIS 
WEB MENGGUNAKAN METODE ASSOCIATION RULE DENGAN 
ALGORITMA APRIORI UNTUK MENCARI POLA PENJUALAN 
PRODUK PADA PT LION SUPER INDO",rancang sistem aplikasi jual produk bas web guna metode association rule algoritma apriori cari pola jual produk pt lion super indo,3
19,PERANCANGAN SISTEM PENDUKUNG KEPUTUSAN PENDATAAN WARGA PADA KELURAHAN JAKAMULYA UNTUK SELEKSI PENERIMAAN BANTUAN SOSIAL MENGGUNAKAN METODE MOORA,rancang sistem dukung putus data warga lurah jakamulya seleksi terima bantu sosial guna metode moora,3
20,SISTEM PENDUKUNG KEPUTUSAN EKSTRAKURIKULER PENENTUAN  SISWA BERPRESTASI UNTUK MENGIKUTI KEJUARAAN ANTAR SEKOLAH MENGGUNAKAN METODE SAW DAN MOORA,sistem dukung putus ekstrakurikuler tentu siswa prestasi ikut juara antar sekolah guna metode saw moora,1
